Name;ID;Class Type;Class Tier;Weakness;Flag;Exclusive User;Usable Weapons;Max Weapons;Level;Base HP;Base Str;Base Mag;Base Dex;Base Spd;Base Lck;Base Def;Base Res;Base Bld;Base Vision;Base Mov;HP Cap;Str Cap;Mag Cap;Dex Cap;Spd Cap;Lck Cap;Def Cap;Res Cap;Bld Cap;Vision Cap;Mov Cap;HP Growth;Str Growth;Mag Growth;Dex Growth;Spd Growth;Lck Growth;Def Growth;Res Growth;Bld Growth;Promotion 1;Promotion 2;Promotes from;Level 5 Skill;Skill Description;Maddening Skill;Skill Description;Class Description
Mage Knight;JID_マージナイト;Cavalry;Advanced;Cavalry;Playable;;Sword (Secondary), Lance (Secondary), Axe (Secondary), Tome;Sword B+, Lance B+, Axe B+, Tome A;20;21;5;7;8;9;2;3;8;6;3;6;47;35;40;28;32;24;26;40;12;20;20;5;5;25;0;5;5;10;25;0;---;---;Mage;Chaos Style;If unit initiates combat with a physical attack against a foe armed with magic or vice versa, grants Spd+3 during combat.;Seal Magic;If unit initiates combat, inflicts Mag-6 on foe after combat. (Penalty shrinks by 1 each turn.);Magic knights who cast spells from horseback, but can also take part in melee combat.
Martial Monk;JID_モンク;Qi Adept;Base;---;Playable;;Staff, Arts;Staff B, Arts C;0;18;3;5;6;5;3;3;8;3;3;4;55;28;41;26;28;29;20;39;13;20;20;0;10;25;0;0;10;10;20;0;Martial Master;High Priest;---;---;---;---;---;Combat monks who use staves to heal wounded allies. They are versed in the martial arts of self-defense.
Martial Master;JID_マスターモンク;Qi Adept;Advanced;---;Playable;;Staff, Arts;Staff A, Arts S;20;22;6;5;6;5;4;4;7;6;3;5;66;38;41;26;28;29;27;39;15;20;20;5;10;20;0;0;10;15;25;0;---;---;Martial Monk;Diffuse Healer;When unit is healed by a staff, all adjacent allies also recover 50% of the HP that the unit recovered.;Self-Destruct;If unit's HP is 50% or less at the start of player phase, unit dies and deals 50% of its max HP to foes within 2 spaces.;Experienced monks trained in the martial arts. They excel at hand-to- hand combat as well as healing.
High Priest;JID_ハイプリースト;Mystical;Advanced;---;Playable;;Tome, Staff, Arts;Tome B+, Staff S, Arts C+;20;20;3;8;8;6;5;3;10;4;3;5;55;28;45;31;32;38;20;48;13;20;20;0;0;25;0;5;30;0;30;0;---;---;Martial Monk;Self-Healing;Unit can target itself with healing staves.;Warding Blow;When unit initiates combat, unit takes 20 less magical damage during combat.;Masters of staves with wisdom from experience. Their healing powers are lifesaving in battle.
Sword Flier;JID_ソードペガサス;Flying;Base;Flying;Female-only;;Sword;Sword B;0;21;5;2;7;9;3;3;7;4;3;5;68;40;31;43;38;25;27;22;14;20;20;5;10;5;10;10;10;0;10;0;Griffin Knight;Wyvern Knight;---;---;---;---;---;Sword fighters who soar through the sky on their pegasus mounts. Strong against magic, but weak to bows.
Lance Flier;JID_ランスペガサス;Flying;Base;Flying;Female-only;;Lance;Lance B;0;21;5;2;7;9;3;3;7;4;3;5;68;40;31;43;38;25;27;22;14;20;20;5;10;5;10;10;10;0;10;0;Griffin Knight;Wyvern Knight;---;---;---;---;---;Lance users who soar through the sky on their pegasus mounts. Strong against magic, but weak to bows.
Axe Flier;JID_アクスペガサス;Flying;Base;Flying;Female-only;;Axe;Axe B;0;21;5;2;7;9;3;3;7;4;3;5;68;40;31;43;38;25;27;22;14;20;20;5;10;5;10;10;10;0;10;0;Griffin Knight;Wyvern Knight;---;---;---;---;---;Axe-wielders who soar through the sky on their pegasus mounts. Strong against magic, but weak to bows.
Griffin Knight;JID_グリフォンナイト;Flying;Advanced;Flying;Playable;;Sword (Secondary), Lance (Secondary), Axe (Secondary), Staff;Sword A+, Lance A+, Axe A+, Staff C+;20;22;7;3;10;11;5;4;9;5;3;6;68;40;37;48;49;35;27;35;14;20;20;0;10;15;15;20;15;0;15;0;---;---;#N/A;Clear the Way;Unit's space and adjacent spaces have a movement cost of 1 for allies.;Darting Blow;When unit initiates combat, grants Spd+5 during combat.;Experienced knights who fly through the skies on a griffin. They are well- balanced and can use staves.
Wyvern Knight;JID_ドラゴンナイト;Flying;Advanced;Flying, Dragon;Playable;;Sword (Tertiary), Lance (Tertiary), Axe (Tertiary);Sword B+, Lance B+, Axe B+;20;25;9;1;8;9;3;6;5;6;3;6;83;46;31;43;38;25;35;22;18;20;20;20;20;0;10;5;5;20;5;5;---;---;#N/A;Air Raid;If unit initiates combat from a space a foe cannot enter, grants Spd+5 during combat.;Certain Blow;When unit initiates combat, grants Hit+40 during combat.;Experienced knights who fly through the skies on wyverns. Though powerful, they fear bows and magic.
Thief;JID_シーフ;Covert;Special;---;Playable;;Dagger;Dagger S;0;22;5;0;10;10;2;6;2;4;5;5;60;43;22;51;42;30;33;23;13;20;20;5;10;0;20;15;15;15;5;0;---;---;---;Pass;Foes do not block this unit's movement.;Savage Blow;If unit initiates combat, deals damage to foes within 2 spaces equal to 20% of their max HP after combat.;Burglars with a talent for picking locks. They are nimble with their hands and deadly with a knife.
Dancer;JID_ダンサー;Qi Adept;Special;---;Exclusive;Seadall;Arts;Arts A;0;21;5;1;8;8;5;2;5;5;3;5;64;36;31;29;43;39;24;26;15;20;20;5;10;0;5;15;20;10;20;0;---;---;---;Special Dance;If unit uses Dance, grants Dex/Spd/Lck+3 to target for 1 turn.;---;---;Charming performers who can raise an ally's spirits, allowing the ally to act once more in battle.
Barbarian;JID_蛮族;Backup;Base;---;NPC;;Axe;Axe A;0;26;9;0;0;5;0;2;0;9;3;4;85;46;15;30;26;16;23;15;21;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;Life and Death;Unit deals +10 damage and takes +10 damage during combat.;Fierce fighters with an insatiable rage. They possess great strength and speed, but little defense.
Corrupted Wyrm;JID_異形竜;Dragon;Base;Fell Dragon, Corrupted;NPC;;Special;Special S;0;30;0;7;0;0;0;9;9;10;3;2;74;0;42;24;6;19;36;36;28;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;Spirit Strike;When unit hits with an attack, inflicts -5 to foe's engage meter.;Minions of the Fell Dragon who aim to bring the world to ruin. Their dark breath destroys all.
Phantom Wyrm;JID_幻影竜;Dragon;Base;Dragon;NPC;;Special;Special S;0;30;0;7;0;0;0;9;9;10;3;2;74;0;42;24;6;19;36;36;28;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;Spirit Strike;When unit hits with an attack, inflicts -5 to foe's engage meter.;Enormous draconic minions. Though they are slow, their breath can affect faraway enemies.
Villager;JID_村人;none;Base;---;NPC;;None;0;0;18;1;0;6;5;3;2;2;4;3;4;45;20;15;30;33;30;25;25;12;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;An ordinary person with no combat training.
Emblem;JID_紋章士_マルス;Backup;Base;---;NPC;;Sword;Sword S;0;23;5;2;10;11;3;4;3;6;3;5;64;40;21;48;46;33;31;33;15;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_シグルド;Cavalry;Base;Cavalry;NPC;;Sword, Lance;Sword S, Lance S;0;25;8;4;6;7;5;7;4;7;3;6;72;45;25;36;34;40;42;39;19;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_セリカ;Mystical;Base;---;NPC;;Sword, Tome, Staff;Sword S, Tome S, Staff S;0;22;6;9;4;5;2;4;8;5;3;5;63;42;53;31;32;29;28;49;14;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_ミカヤ;Mystical;Base;---;NPC;;Tome, Staff;Tome S, Staff S;0;21;2;8;5;7;4;3;10;4;3;5;53;29;50;32;34;36;24;54;10;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_ロイ;Backup;Base;---;NPC;;Sword;Sword S;0;24;10;2;4;6;3;6;2;6;3;5;68;51;19;28;30;33;36;26;18;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_リーフ;Backup;Base;---;NPC;;Sword, Lance, Axe, Bow;Sword S, Lance S, Axe S, Bow S;0;24;8;4;6;8;3;6;3;6;3;5;71;45;34;36;38;33;38;30;15;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_ルキナ;Backup;Base;---;NPC;;Sword, Bow;Sword S, Bow S;0;22;4;4;11;11;4;4;3;6;3;5;60;37;25;52;52;36;28;35;15;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_リン;Backup;Base;---;NPC;;Sword, Bow;Sword S, Bow S;0;22;4;3;9;11;3;4;3;5;3;5;54;35;26;47;55;33;28;35;11;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_アイク;Armor;Base;---;NPC;;Sword, Axe;Sword S, Axe S;0;28;8;1;6;4;2;10;1;8;3;5;75;43;18;33;25;23;51;16;23;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_ベレト;Backup;Base;---;NPC;;Sword, Arts;Sword S, Arts S;0;23;7;4;7;11;9;5;5;6;3;5;64;41;39;39;32;31;35;36;14;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_カムイ;Dragon;Base;Dragon;NPC;;Sword;Sword S;0;23;7;4;7;8;4;5;4;5;3;5;64;41;40;39;41;50;32;40;15;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_エイリーク;Backup;Base;---;NPC;;Sword;Sword S;0;22;7;3;8;11;10;4;5;4;3;5;57;39;36;43;43;57;31;40;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Fell Child;JID_裏邪竜ノ娘;Dragon;Special;Fell Dragon;Exclusive;Nel;Lance, Special;Lance A, Special S;0;20;5;5;5;5;5;5;5;5;3;5;65;39;30;32;45;37;33;31;13;20;20;10;15;10;10;15;0;15;15;5;---;---;---;Resist Emblems;When attacked with an engage attack, prevents 20% of damage.;---;---;Inheritor of the blood of the Fell Dragon. Fights with a lance and uses a dragonstone to become a dragon.
Fell Child;JID_裏邪竜ノ子;Dragon;Special;Fell Dragon;Exclusive;Rafal;Axe, Special;Axe A, Special S;0;20;5;5;5;5;5;5;5;5;3;5;76;46;13;30;33;19;42;20;13;20;20;15;20;0;5;5;0;20;10;10;---;---;---;Spur Emblems;At start of player phase, fills adjacent allies' engage meters by 1.;---;---;Inheritor of the blood of the Fell Dragon. Fights with an axe and uses a dragonstone to become a dragon.
Fell Child;JID_裏邪竜ノ子_E1-4;Dragon;Special;Fell Dragon;NPC;;Axe;Axe A;0;20;5;5;5;5;5;5;5;5;3;5;76;46;13;30;33;19;42;20;13;20;20;15;20;0;5;5;0;20;10;10;---;---;---;Spur Emblems;At start of player phase, fills adjacent allies' engage meters by 1.;---;---;Inheritor of the blood of the Fell Dragon. Ill-suited for fighting, but reluctantly wields an axe.
Fell Child;JID_裏邪竜ノ子_E5;Dragon;Special;Fell Dragon;NPC;;Axe;Axe A;0;20;5;5;5;5;5;5;5;5;3;5;76;46;13;30;33;19;42;40;13;20;20;15;20;0;5;5;0;20;10;10;---;---;---;Spur Emblems;At start of player phase, fills adjacent allies' engage meters by 1.;---;---;Inheritor of the blood of the Fell Dragon. His true nature revealed, he fights viciously with an axe.
Great Fell Dragon;JID_E006ラスボス;Dragon;Base;Fell Dragon;NPC;;Special;Special S;0;30;10;10;10;2;8;10;10;10;3;0;80;45;45;40;40;40;45;45;30;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;A Fell Dragon with the power of the Emblem bracelets. Wreaks havoc on the battlefield with powerful attacks.
Melusine;JID_メリュジーヌ_味方;Flying;Special;Flying, Dragon;Exclusive;Zelestia;Sword, Tome;Sword A, Tome S;0;22;7;8;6;8;2;6;9;6;3;6;75;40;39;33;35;27;33;36;12;20;20;10;10;10;10;15;0;10;10;5;---;---;---;Soulblade;When attacking with a sword, damage is calculated using average of foe's Def and Res.;---;---;An alluring magic knight who rides an evil dragon. Overpowers with highly honed magic and sword skills.
Enchanter;JID_エンチャント;Qi Adept;Special;---;Playable;;Dagger, Arts;Dagger B+, Arts B+;20;20;5;5;5;5;5;5;5;5;3;5;53;25;25;43;39;42;20;22;11;20;20;5;15;15;15;10;15;5;5;5;---;---;---;Convoy;Use to deposit or retrieve weapons and items.;Self-Destruct;If unit's HP is 50% or less at the start of player phase, unit dies and deals 50% of its max HP to foes within 2 spaces.;A combat medic who skillfully uses items for combat. Can use convoy, and excels at ally-support tactics.
Mage Cannoneer;JID_マージカノン;Armor;Special;Armor;Playable;;Canonball;Canonball S;20;20;5;5;5;5;5;5;5;5;3;4;73;45;23;43;23;31;49;24;18;20;20;15;10;0;15;5;10;20;5;10;---;---;---;Let Fly;Use to perform a guaranteed-hit, area-of-effect attack at the start of the next player phase. Unit loses equipped weapon.;Steady Stance;If foe initiates combat, grants Def+6 during combat.;An armored foot soldier equipped with a handheld cannon. Launches ranged attacks.
Corrupted Wolf;JID_異形狼;Backup;Special;Corrupted;NPC;;Special;Special S;0;23;6;2;9;11;2;4;4;4;3;6;65;40;19;41;51;31;25;29;10;20;20;0;0;0;0;0;0;0;0;0;---;---;---;Pack Hunter;Allies of the same class as unit within 3 spaces participate in chain attacks.;Duelist's Blow;When unit initiates combat, grants Avo+30 during combat.;Minions of the Fell Dragon who aim to bring the world to ruin. They attack foes with cursed fangs.
Phantom Wolf;JID_幻影狼;Backup;Special;---;NPC;;Special;Special S;0;23;6;2;9;11;2;4;4;4;3;6;65;40;19;41;51;31;25;29;10;20;20;0;0;0;0;0;0;0;0;0;---;---;---;Pack Hunter;Allies of the same class as unit within 3 spaces participate in chain attacks.;Duelist's Blow;When unit initiates combat, grants Avo+30 during combat.;Wolves that move swiftly around the battlefield. They confound their foes as they lash out with cursed fangs.
Corrupted Wyvern;JID_異形飛竜;Dragon;Special;Flying, Fell Dragon, Corrupted;NPC;;Special;Special S;0;30;2;5;4;5;3;8;10;8;3;3;70;14;38;30;27;23;32;34;28;20;20;0;0;0;0;0;0;0;0;0;---;---;---;Miasma Domain;At start of turn, applies miasma to terrain within 2 spaces of unit.;Spirit Strike;When unit hits with an attack, inflicts -5 to foe's engage meter.;Minions of the Fell Dragon who aim to bring the world to ruin. They mow down foes with vile breath attacks.
Phantom Wyvern;JID_幻影飛竜;Dragon;Special;Flying, Dragon;NPC;;Special;Special S;0;30;2;5;4;5;3;8;10;8;3;5;70;14;38;30;27;23;32;34;28;20;20;0;0;0;0;0;0;0;0;0;---;---;---;Frost Domain;At start of turn, applies frost to terrain within 2 spaces of unit.;Spirit Strike;When unit hits with an attack, inflicts -5 to foe's engage meter.;Wyverns that soar freely over the battlefield. They can corner enemies with breath attacks.
Royal;JID_アヴニール_E;Cavalry;Special;Cavalry, Corrupted;NPC;;Sword, Lance;Sword B, Lance A;20;25;8;4;7;6;6;8;6;7;3;6;71;45;20;33;35;45;37;21;16;20;20;15;15;0;5;10;20;25;5;5;---;---;---;Golden Lotus;During combat, may prevent 50% of physical damage taken. Trigger %=Dex.;---;---;A belligerent individual who desires war. Proficient mounted lancer.
Royal;JID_フロラージュ_E;Mystical;Special;Corrupted;NPC;;Sword, Tome, Staff;Sword B, Tome A, Staff B;20;21;6;9;6;9;5;4;6;5;3;5;56;38;37;29;41;50;27;35;11;20;20;5;10;15;5;5;20;5;15;0;---;---;---;Ignis;During combat, may add half of Str to magic damage or half of Mag to all other damage. Trigger %=Dex.;---;---;A belligerent individual who desires war. A skilled magic user who can also wield a sword.
Warden;JID_スュクセサール_E;Backup;Special;Corrupted;NPC;;Sword, Axe;Sword S, Axe A;20;25;10;2;8;9;4;6;3;8;3;5;77;43;23;23;38;25;38;20;20;20;20;15;20;0;10;15;10;15;0;5;---;---;---;Sol;Unit may recover HP=50% damage dealt. Trigger %=Dex.;---;---;Sword wielder who has lost pride and abandoned knightly virtue.
Warden;JID_ティラユール_E;Covert;Special;Corrupted;NPC;;Bow;Bow S;20;22;8;1;12;8;4;6;4;6;3;5;68;41;20;41;40;30;29;19;15;20;20;10;10;0;30;10;5;15;5;0;---;---;---;Luna;While making an attack, may ignore half of foe's Def/Res. Trigger %=Dex.;---;---;Bow wielder who has lost pride and abandoned knightly virtue.
Trainer;JID_リンドブルム_E;Flying;Special;Flying, Dragon, Corrupted;NPC;;Tome, Staff;Tome S, Staff B;20;22;2;10;5;5;1;8;9;6;3;6;60;31;40;25;34;20;31;40;15;20;20;5;0;25;5;0;0;15;25;0;---;---;---;Grasping Void;When attacking with a tome, unit may deal extra damage = half of foe's Mag. Trigger %=Dex.;---;---;Worshipper of the Fell Dragon who can bend beasts to their will. Rides a wyvern and uses tomes and staves.
Trainer;JID_スレイプニル_E;Flying;Special;Flying, Corrupted;NPC;;Tome, Staff;Tome B, Staff S;20;18;1;7;10;10;8;2;13;5;3;6;47;26;39;36;45;53;19;51;11;20;20;0;0;20;15;15;15;0;30;0;---;---;---;World Tree;When unit uses a staff, may not consume a use. Trigger %=Dex.;---;---;Worshipper of the Fell Dragon who can bend beasts to their will. Rides a pegasus and uses tomes and staves.
Watcher;JID_ピッチフォーク_E;Backup;Special;Corrupted;NPC;;Lance;Lance S;20;25;9;2;6;9;4;10;3;5;3;5;63;35;27;47;41;37;33;26;12;20;20;10;15;0;10;10;5;20;5;5;---;---;---;Sandstorm;While making a physical attack, may calculate damage with 150% of Def instead of Str. Trigger %=Dex.;---;---;Solemnly purges the land of their enemies under the guise of justice. A skilled lance user.
Watcher;JID_クピードー_E;Cavalry;Special;Cavalry, Corrupted;NPC;;Sword, Bow;Sword B, Bow A;20;23;6;3;10;8;3;5;5;7;3;6;67;35;28;33;49;33;28;31;16;20;20;10;5;5;20;20;0;5;20;0;---;---;---;Back at You;When countering, unit may deal extra damage = half of damage taken. Trigger %=Dex.;---;---;Solemnly purges the land of their enemies under the guise of justice. A proficient rider and archer.
Emblem;JID_紋章士_エーデルガルト;Backup;Base;Armor;NPC;;Axe;Axe S;0;23;7;2;8;8;5;5;3;6;3;5;66;40;32;43;35;37;35;35;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_ディミトリ;Backup;Base;---;NPC;;Lance;Lance S;0;23;7;2;8;8;5;5;3;6;3;5;66;40;32;43;35;37;35;35;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_クロード;Backup;Base;---;NPC;;Bow;Bow S;0;23;7;2;8;8;5;5;3;6;3;5;66;40;32;43;35;37;35;35;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_チキ;Dragon;Base;Dragon;NPC;;Special;Special S;0;19;5;5;5;6;9;3;5;3;3;5;48;37;36;37;34;54;24;28;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_ヘクトル;Armor;Base;Armor;NPC;;Sword, Axe;Sword S, Axe S;0;26;8;1;4;4;0;12;0;8;3;4;72;42;26;30;20;28;53;15;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_ヴェロニカ;Mystical;Base;---;NPC;;Tome, Staff;Tome S, Staff S;0;20;2;8;5;6;5;3;9;3;3;5;50;25;50;39;32;42;26;53;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_セネリオ;Mystical;Base;---;NPC;;Dagger, Tome, Staff;Dagger S, Tome S, Staff S;0;22;2;9;9;5;5;3;8;5;3;5;57;29;50;46;32;36;28;51;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_カミラ;Flying;Base;Flying;NPC;;Axe, Tome;Axe S, Tome S;0;23;6;5;7;11;5;5;6;6;3;6;62;38;36;43;49;38;32;38;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_クロム;Backup;Base;---;NPC;;Sword;Sword S;0;24;8;5;6;8;5;5;2;6;3;5;65;43;28;40;37;34;33;30;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_ルフレ;Backup;Base;---;NPC;;Sword, Tome;Sword S, Tome S;0;22;5;8;4;8;4;4;4;6;3;5;60;37;43;33;33;31;30;40;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
Emblem;JID_紋章士_ルキナ_召喚;Backup;Base;---;NPC;;Sword, Lance, Bow;Sword S, Lance S, Bow S;0;22;4;4;11;11;4;4;3;6;3;5;60;37;25;52;52;36;28;35;15;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in rings. They possess unimaginable power.
Emblem;JID_紋章士_ヘクトル_召喚;Armor;Base;Armor;NPC;;Sword, Lance, Axe;Sword S, Lance S, Axe S;0;26;8;1;4;4;0;12;0;8;3;4;72;42;26;30;20;28;53;15;13;20;20;0;0;0;0;0;0;0;0;0;---;---;---;---;---;---;---;Heroes from worlds beyond Elyos, who are contained in bracelets. They possess unimaginable power.
